,round,variable,value
230,11,MSC,15.0
231,12,MSC,15.0
232,13,MSC,15.0
233,14,MSC,15.0
234,15,MSC,15.0
235,16,MSC,15.0
236,17,MSC,16.0
237,18,MSC,16.0
238,19,MSC,16.0
239,20,MSC,16.0
240,21,MSC,16.0
241,22,MSC,16.0
242,1,STR,12.0
243,2,STR,16.0
244,3,STR,18.0
245,4,STR,18.0
246,5,STR,17.0
247,6,STR,17.0
248,7,STR,17.0
249,8,STR,17.0
250,9,STR,18.0
251,10,STR,19.0
252,11,STR,19.0
253,12,STR,18.0
254,13,STR,18.0
255,14,STR,19.0
256,15,STR,18.0
257,16,STR,18.0
258,17,STR,15.0
259,18,STR,15.0
260,19,STR,15.0
261,20,STR,15.0
262,21,STR,15.0
263,22,STR,15.0
264,1,ALB,13.0
265,2,ALB,18.0
266,3,ALB,16.0
267,4,ALB,17.0
268,5,ALB,15.0
269,6,ALB,16.0
270,7,ALB,16.0
271,8,ALB,16.0
272,9,ALB,17.0
273,10,ALB,18.0
274,11,ALB,18.0
275,12,ALB,19.0
276,13,ALB,19.0
277,14,ALB,18.0
278,15,ALB,19.0
279,16,ALB,19.0
280,17,ALB,19.0
281,18,ALB,19.0
282,19,ALB,19.0
283,20,ALB,19.0
284,21,ALB,19.0
285,22,ALB,19.0
286,1,RIC,14.0
287,2,RIC,19.0
288,3,RIC,11.0
289,4,RIC,11.0
290,5,RIC,11.0
291,6,RIC,12.0
292,7,RIC,11.0
293,8,RIC,13.0
294,9,RIC,13.0
295,10,RIC,14.0
296,11,RIC,12.0
297,12,RIC,12.0
298,13,RIC,12.0
299,14,RIC,13.0
300,15,RIC,13.0
301,16,RIC,14.0
302,17,RIC,11.0
303,18,RIC,12.0
304,19,RIC,12.0
305,20,RIC,12.0
306,21,RIC,12.0
307,22,RIC,11.0
308,1,NOR,15.0
309,2,NOR,10.0
310,3,NOR,8.0
311,4,NOR,6.0
312,5,NOR,7.0
313,6,NOR,7.0
314,7,NOR,7.0
315,8,NOR,7.0
316,9,NOR,7.0
317,10,NOR,7.0
318,11,NOR,7.0
319,12,NOR,7.0
320,13,NOR,7.0
321,14,NOR,7.0
322,15,NOR,7.0
323,16,NOR,7.0
324,17,NOR,7.0
325,18,NOR,7.0
326,19,NOR,7.0
327,20,NOR,7.0
328,21,NOR,7.0
329,22,NOR,7.0
330,1,LAT,16.0
331,2,LAT,20.0
332,3,LAT,20.0
333,4,LAT,21.0
334,5,LAT,21.0
335,6,LAT,21.0
336,7,LAT,21.0
337,8,LAT,21.0
338,9,LAT,21.0
339,10,LAT,20.0
340,11,LAT,20.0
341,12,LAT,20.0
342,13,LAT,20.0
343,14,LAT,20.0
344,15,LAT,20.0
345,16,LAT,21.0
346,17,LAT,21.0
347,18,LAT,20.0
348,19,LAT,20.0
349,20,LAT,20.0
350,21,LAT,20.0
351,22,LAT,20.0
